A,B,C,D,E,F,G,insee
1,0,0,1,0,1,0,22370
2,0,3,8,13,2,1,22371
15,7,26,35,8,6,5,22372
0,0,0,0,2,3,1,22373
1,1,1,3,1,0,5,22375
3,4,2,7,8,3,9,22376
3,0,2,7,6,0,5,22377
0,0,0,0,2,1,4,22378
10,5,18,23,7,14,2,22379
0,0,0,4,4,1,1,22380
1,0,2,2,1,2,0,22381
0,0,0,1,2,2,1,22383
2,1,5,5,7,6,5,22384
6,1,3,5,12,4,8,22385
0,0,2,3,1,1,3,22386
1,1,2,12,4,9,5,22387
10,1,4,8,5,3,1,22388
12,16,51,41,32,15,14,22389
3,5,4,4,14,4,4,22390
1,0,1,11,8,14,11,22391
